"15-07-00", "PL----"
"15-08-00", "PM----"
"15-09-00", "PR----"
"15-10-00", "PU----"
"15-11-00", "PO----"
"15-12-00", "PI----"
"15-13-00", "PN----"
"15-14-00", "PS----"
"15-15-00", "PSZ---"
"15-16-00", "PSA---"
"15-17-00", "PSB---"
"15-18-00", "PSC---"
"15-19-00", "PSD---"
"15-20-00", "PSE---"
"15-21-00", "PSF---"
"15-22-00", "PSG---"
"15-23-00", "PSH---"
"15-24-00", "PSI---"
"15-25-00", "PSJ---"
"15-26-00", "PA----"
"15-27-00", "PAS---"
"15-28-00", "PAT---"
"15-29-00", "L-----"
"15-30-00", "LC----"
"15-31-00", "LCM---"
"15-32-00", "LCH---"
"15-33-00", "LR----"
"15-34-00", "LRM---"
"15-35-00", "LRA---"
"15-36-00", "LRO---"
"15-37-00", "LRT---"
"15-38-00", "LRW---"
"15-39-00", "A-----"
"15-40-00", "AD----"
"15-41-00", "AE----"
"15-42-00", "AR----"
"15-43-00", "AH----"
"15-44-00", "AS----"
"15-45-00", "ASB---"
"15-46-00", "ASD---"
"15-47-00", "ASR---"
"16-00-00", "E-----"
"16-01-00", "ED----"
"16-02-00", "EP----"
"16-03-00", "EV----"
"16-04-00", "H-----"
"16-05-00", "HM----"
"16-06-00", "HN----"
"16-07-00", "HI----"
"16-08-00", "HO----"
"16-09-00", "S-----"
"16-10-00", "SB----"
"16-11-00", "SBM---"
"16-12-00", "SBN---"
"16-13-00", "SBW---"
"16-14-00", "SM----"
"16-15-00", "SS----"
"16-16-00", "B-----"
"16-17-00", "BE----"
"16-18-00", "BA----"
"16-19-00", "BT----"
"16-20-00", "BO----"
"16-21-00", "F-----"
"16-22-00", "FA----"
"16-23-00", "FE----"
"16-24-00", "FO----"
"16-25-00", "SBWD--"
"00-00-00", "S-----"
"00-01-00", "V-----"
"00-02-00", "T-----"
"00-03-00", "L-----"
"01-00-00", "MFB---"
"01-00-01", "MFF---"
"01-00-02", "MFFI--"
"01-00-03", "MFT---"
"01-00-04", "MFA---"
"01-00-05", "MFL---"
"01-00-06", "MFK---"
"01-00-07", "MFC---"
"01-00-08", "MFCL--"
"01-00-09", "MFCM--"
"01-00-10", "MFCH--"
"01-00-11", "MFJ---"
"01-00-12", "MFO---"
"01-00-13", "MFR---"
"01-00-14", "MFRW--"
"01-00-15", "MFRZ--"
"01-00-16", "MFRX--"
"01-00-17", "MFP---"
"01-00-18", "MFPN--"
"01-00-19", "MFPM--"
"01-00-20", "MFU---"
"01-00-21", "MFUL--"
"01-00-22", "MFUM--"
"01-00-23", "MFUH--"
"01-00-24", "MFY---"
"01-00-25", "MFH---"
"01-00-26", "MFD---"
"01-00-27", "MFQ---"
"01-00-28", "MFS---"
"01-00-29", "MFM---"
"01-00-30", "MF----"
"01-00-31", "MFQA--"
"01-00-32", "MFQB--"
"01-00-33", "MFQC--"
"01-00-34", "MFQD--"
"01-00-35", "MFQF--"
"01-00-36", "MFQH--"
"01-00-37", "MFQJ--"
"01-00-38", "MFQK--"
"01-00-39", "MFQL--"
"01-00-40", "MFQM--"
"01-00-41", "MFQI--"
"01-00-42", "MFQN--"
"01-00-43", "MFQP--"
"01-00-44", "MFQR--"
"01-00-45", "MFQRW-"
"01-00-46", "MFQRZ-"
"01-00-47", "MFQRX-"
"01-00-48", "MFQS--"
"01-00-49", "MFQT--"
"01-00-50", "MFQU--"
"01-00-51", "MFQY--"
"01-00-52", "MFQO--"
"01-01-00", "MHA---"
"01-01-01", "MHS---"
"01-01-02", "MHU---"
"01-01-03", "MHUL--"
"01-01-04", "MHUM--"
"01-01-05", "MHUH--"
"01-01-06", "MHI---"
"01-01-07", "MHH---"
"01-01-08", "MHR---"
"01-01-09", "MHQ---"
"01-01-10", "MHC---"
"01-01-11", "MHCL--"
"01-01-12", "MHCM--"
"01-01-13", "MHCH--"
"01-01-14", "MHT---"
"01-01-15", "MHO---"
"01-01-16", "MHM---"
"01-01-17", "MHD---"
"01-01-18", "MHK---"
"01-01-19", "MHJ---"
"01-01-20", "MH----"
"01-03-00", "WM----"
"01-03-01", "WMS---"
"01-03-02", "WMSS--"
"01-03-03", "WMSA--"
"01-03-04", "WMA---"
"01-03-05", "WMAS--"
"01-03-06", "WMAA--"
"01-03-07", "WMU---"
"01-03-08", "WD----"
"01-03-09", "W-----"
"01-03-10", "WMSB--"
"01-03-11", "WMAP--"
"01-03-12", "WB----"
"01-03-13", "WMSU--"
"01-04-00", "CF----"
"01-04-01", "CH----"
"01-04-02", "CL----"
"01-04-03", "C-----"
"02-00-00", "UCDS--"
"02-00-01", "UCDSC-"
"02-00-02", "UCDSS-"
"02-00-03", "UCDSV-"
"02-00-04", "UCDM--"
"02-00-05", "UCDML-"
"02-00-06", "UCDMLA"
"02-00-07", "UCDMM-"
"02-00-08", "UCDMH-"
"02-00-09", "UCDG--"
"02-00-10", "UCDC--"
"02-00-11", "UCDT--"
"02-00-12", "UCDO--"
"02-00-13", "UCDH--"
"02-00-14", "UCDHH-"
"02-00-15", "UCDHP-"
"02-00-16", "UCD---"
"02-01-00", "UCAT--"
"02-01-01", "UCATA-"
"02-01-02", "UCATW-"
"02-01-03", "UCATWR"
"02-01-04", "UCATL-"
"02-01-05", "UCATM-"
"02-01-06", "UCATH-"
"02-01-07", "UCATR-"
"02-01-08", "UCAW--"
"02-01-09", "UCAWS-"
"02-01-10", "UCAWA-"
"02-01-11", "UCAWW-"
"02-01-12", "UCAWWR"
"02-01-13", "UCAWL-"
"02-01-14", "UCAWM-"
"02-01-15", "UCAWH-"
"02-01-16", "UCAWR-"
"02-01-17", "UCA---"
"02-02-00", "UCAAD-"
"02-02-01", "UCAAL-"
"02-02-02", "UCAAM-"
"02-02-03", "UCAAS-"
"02-02-04", "UCAAU-"
"02-02-05", "UCAAC-"
"02-02-06", "UCAAA-"
"02-02-07", "UCAAAT"
"02-02-08", "UCAAAW"
"02-02-09", "UCAAAS"
"02-02-10", "UCAAO-"
"02-02-11", "UCAAOS"
"02-02-12", "UCAA--"
"02-03-00", "UCVF--"
"02-03-01", "UCVFU-"
"02-03-02", "UCVFA-"
"02-03-03", "UCVFR-"
"02-03-04", "UCVR--"
"02-03-05", "UCVRA-"
"02-03-06", "UCVRS-"
"02-03-07", "UCVRW-"
"02-03-08", "UCVRU-"
"02-03-09", "UCVRUL"
"02-03-10", "UCVRUM"
"02-03-11", "UCVRUH"
"02-03-12", "UCVRUC"
"02-03-13", "UCVRUE"
"02-03-14", "UCVRM-"
"02-03-15", "UCVS--"
"02-03-16", "UCVC--"
"02-03-17", "UCVV--"
"02-03-18", "UCVU--"
"02-03-19", "UCVUF-"
"02-03-20", "UCVUR-"
"02-03-21", "UCV---"
"02-04-00", "UCIL--"
"02-04-01", "UCIM--"
"02-04-02", "UCIO--"
"02-04-03", "UCIA--"
"02-04-04", "UCIS--"
"02-04-05", "UCIZ--"
"02-04-06", "UCIN--"
"02-04-07", "UCII--"
"02-04-08", "UCIC--"
"02-04-09", "UCI---"
